Iteration,Alpha
17,"0.17378504794659505,0.17230340252764806,0.16635233918866676,0.16294574591932634,0.16244255486025042,0.16217090955751337"
18,"0.17453967310438834,0.17253448238078492,0.16614623566945283,0.16267843084957323,0.16220830938254394,0.1618928686132568"
19,"0.17441874797041285,0.17253538293541795,0.16629069177573,0.1628078539668275,0.16219410424486985,0.16175321910674184"
20,"0.17419523103597156,0.1725729176945656,0.16643371815962185,0.16286098139032767,0.16249646341325488,0.16144068830625838"
21,"0.17420169019852247,0.1727508690866266,0.1665233785288614,0.16296864025800203,0.1622336010578073,0.1613218208701802"
22,"0.17433483352700743,0.17273134672328375,0.16634464193278498,0.16293351445402637,0.16222075981733508,0.1614349035455623"
23,"0.17396809400460822,0.1727522788261659,0.16625365182966165,0.1627903020742611,0.16252578089707648,0.16170989236822672"
24,"0.1747010547042446,0.1735335156624786,0.1662094257142284,0.1625414666288252,0.1618822186180314,0.1611323186721917"
25,"0.17479383319678043,0.17332702577070602,0.16630689380233005,0.16274422198686858,0.16175708692667248,0.1610709383166425"
26,"0.17540962752521427,0.17375942876065603,0.16620797816961075,0.16248040596458863,0.1614130680638109,0.16072949151611934"
27,"0.17537077466739134,0.17326739759024964,0.16625076696716398,0.16259033579939627,0.1616754997091224,0.16084522526667647"
28,"0.1756170068890708,0.1737926373868708,0.1664293252551552,0.16250061097393304,0.16122498445663858,0.16043543503833158"
29,"0.1759515074908769,0.17417622072622904,0.1664279272142238,0.1623342387775642,0.16094839345346382,0.16016171233764215"
30,"0.1762612547494552,0.17485074080994545,0.16656852861130586,0.16225295549256655,0.16039561765208263,0.15967090268464432"
31,"0.1766532673427493,0.1754954436947268,0.16668846057397985,0.16209031126811896,0.15986567378332375,0.15920684333710128"
32,"0.17746533196945355,0.17589025350126794,0.16689583016561085,0.16188516650704804,0.15921520406244746,0.15864821379417227"
33,"0.17787277581942376,0.1762411854325388,0.16693656271950597,0.1617778571916218,0.15877996112653534,0.1583916577103743"
34,"0.17739032994275455,0.17607390350337754,0.1670920518485022,0.16200032916837678,0.15904786218647643,0.1583955233505124"
35,"0.1775139909747077,0.17600740107024024,0.1673777103402002,0.16210433616608066,0.15847115607019885,0.15852540537857235"
36,"0.17710447155799222,0.17584973028786463,0.16743612591204698,0.16223628380957233,0.15863200917676493,0.15874137925575899"
37,"0.17742600417628498,0.17604337580542653,0.16740400479407028,0.16217808173541837,0.15836237967784228,0.15858615381095745"
38,"0.17741108803896985,0.1763170023319715,0.16726127890266493,0.16209973613186218,0.15832147738895175,0.15858941720557976"
39,"0.17750921333885814,0.17612294947593155,0.16687654813822173,0.16182324968458867,0.1587950787371016,0.1588729606252984"
40,"0.17750251501890227,0.1761707813223481,0.16695483489159335,0.16206650375067289,0.1586478042948609,0.1586575607216225"
41,"0.1779626086253338,0.1765606335383692,0.16686006205123505,0.1618373164493172,0.158383061967751,0.15839631736799367"
42,"0.17823264201359526,0.17678940259333745,0.16686348551973387,0.16181041694120396,0.15818831836901376,0.1581157345631157"
43,"0.1782211706112807,0.176654561501847,0.1669671449791429,0.16186504691330825,0.1581772116557631,0.1581148643386583"
44,"0.17872207596495077,0.17664125991886662,0.1667126636984502,0.16199353809533368,0.15798572161645572,0.15794474070594305"
45,"0.17923615847297142,0.17667383492605213,0.16657059596242677,0.1618884612134648,0.15785391721719913,0.1577770322078858"
46,"0.17920212509766073,0.17649928784061533,0.16653133696949943,0.16183971413500933,0.15798124712208494,0.1579462888351302"
47,"0.17925535886501395,0.17650385284235445,0.16634088918420215,0.16185027926327147,0.15792606616449653,0.1581235536806614"
48,"0.1797270879211396,0.176366154864797,0.1662946130347333,0.16171580568900037,0.1579453931180514,0.15795094537227827"
49,"0.18003089404212935,0.17646449330885147,0.16633727010261395,0.1616012214999892,0.15787393331894745,0.15769218772746854"
50,"0.18029293630139548,0.17678425995894392,0.1662903450031251,0.1615020901666546,0.15764464274327358,0.15748572582660736"
51,"0.18063573601268362,0.17681560279116754,0.1662501987513095,0.16152416341575188,0.15749101934955134,0.15728327967953606"
52,"0.1810847809512383,0.17681005105400277,0.16602193905178544,0.16123164245918928,0.1574900438304016,0.1573615426533826"
53,"0.1815287003721023,0.17698809853506298,0.16593986251226095,0.16100150934201912,0.15738588560834618,0.15715594363020846"
54,"0.18119046541047626,0.17691314559331803,0.16601301265247856,0.1610695866661114,0.1575047153571152,0.15730907432050048"
55,"0.1815723479511899,0.1773821219403219,0.16606124722825752,0.16100205320699762,0.15711966796402738,0.15686256170920554"
56,"0.18174723243618,0.1774275437958672,0.16612224346858118,0.16106519160591945,0.1569687843290541,0.15666900436439812"
57,"0.18216560321390265,0.17754146693555733,0.1660062603007016,0.16094322460132507,0.15674371298204387,0.15659973196646937"
58,"0.18206721805913156,0.17745244171710933,0.16608727907952864,0.16106390330973278,0.1567535665113069,0.1565755913231906"
59,"0.1819069182261933,0.17744596743045665,0.16612319317005336,0.16116864334572292,0.15686796759326643,0.15648731023430718"
60,"0.1817734215632684,0.1775623618147487,0.16616940132460103,0.16118867956717323,0.15668763769372782,0.15661849803648095"
61,"0.18222310296700803,0.17768318686019607,0.16605440348943665,0.16098123438706416,0.15655937102952852,0.15649870126676654"
62,"0.18202761736759646,0.17775071857001634,0.16612649751982153,0.16111177073932298,0.156566675562092,0.15641672024115064"
63,"0.18204941582178505,0.17787459600970276,0.16607638403342684,0.16116145374024093,0.15651551576587663,0.1563226346289677"
64,"0.18212050354063208,0.17768711465378806,0.16617544855895802,0.16119894790130604,0.1563884187327515,0.15642956661256432"
65,"0.18285694465523314,0.1778119406278015,0.1660473210374101,0.1609868377797229,0.15612195251896152,0.1561750033808708"
66,"0.1829434685318832,0.1778792734761114,0.16610109574852075,0.1609121372692734,0.15605847956670224,0.15610554540750898"
67,"0.18332026724996714,0.17816998655374508,0.16615005727660417,0.16066937071025397,0.15583428224272247,0.15585603596670722"
